,relkeyword,sch,mob_sch,click,mob_click,clk_r,mob_clk_r,num_ads,comp
0,쌍화차,7120,56900,51.7,1589.8,0.78,2.85,15,2
1,생강차,4770,25100,16.7,432.6,0.37,1.76,15,2
2,한방차,1980,2990,11.3,58.8,0.6,2.1,15,2
3,대추차,2340,14300,9.1,241.9,0.42,1.76,15,2
4,쌍화차재료,450,4760,10.7,311.1,2.47,6.46,15,2
5,쌍화탕재료,300,2640,9.5,184.2,3.37,7.15,15,2
6,아카시아꿀,1930,17000,21.1,478.0,1.19,3.06,15,2
7,정읍쌍화차,490,6780,11.3,255.9,2.53,3.96,13,1
8,핫초코,3380,15200,3.7,15.0,0.12,0.11,15,2
9,수정과,1620,11700,3.1,6.3,0.22,0.06,15,2
10,우엉차,5460,29600,17.4,552.1,0.36,1.99,15,2
11,둥굴레차,3840,11600,10.7,219.6,0.31,2.02,15,2
12,수제쌍화차,310,3270,7.3,206.9,2.54,6.53,15,2
13,전통차,680,2560,8.5,62.7,1.33,2.68,15,2
14,카페겨울메뉴,10,20,0.0,0.0,0.0,0.0,1,1
15,쌍화차만드는법,700,12400,14.9,897.9,2.21,7.2,15,2
16,한국전통차,120,280,0.8,2.7,0.68,1.0,15,2
17,선물용차,140,660,1.4,19.3,1.06,3.25,15,2
18,옥수수수염차,2950,15700,8.4,26.0,0.31,0.18,15,2
19,정읍쌍화탕,100,2630,5.4,84.6,5.65,3.32,8,1
20,쌍화차추천,240,2330,5.6,129.9,2.39,5.67,15,2
21,쌍화차만들기,120,1500,1.1,39.8,0.91,2.73,15,2
22,쌍화차효능,1080,8500,4.1,122.5,0.41,1.51,15,2
23,율무차,3970,18000,11.7,238.7,0.32,1.39,15,2
24,전통음료,70,230,0.2,0.9,0.3,0.45,15,2
25,쌍화탕만들기,170,2260,1.9,134.6,1.15,6.01,15,2
26,염증에좋은차,340,3270,0.7,31.6,0.23,1.02,15,2
27,쌍화탕추천,10,100,0.7,0.3,3.93,0.34,3,2
28,면역력에좋은차,130,870,0.4,6.6,0.34,0.8,15,2
29,쌍화,320,1650,1.3,23.9,0.45,1.6,15,2
30,사양벌꿀,1720,11600,10.4,180.1,0.65,1.66,15,2
31,꿀효능,1440,21900,2.5,10.3,0.19,0.06,15,2
32,지리산꿀,190,1390,5.6,59.3,3.48,5.05,15,2
33,담터쌍화차,1620,11000,9.9,298.8,0.66,2.79,15,2
34,수제대추차,40,470,1.0,1.7,2.28,0.36,3,2
35,전통차선물세트,50,150,1.3,0.3,3.71,0.35,15,2
36,십전대보차,150,580,1.9,17.4,1.27,3.24,15,2
37,생수,17700,89700,53.9,771.5,0.33,0.92,15,2
38,자라탕,410,2550,2.0,44.7,0.5,1.66,15,2
39,고삼,900,5390,16.2,208.6,1.92,4.05,9,1
40,메밀차,1890,6990,10.1,190.3,0.59,2.87,15,2
41,컵라면,9710,38400,35.1,275.2,0.39,0.77,15,2
42,담터호두아몬드율무차,1890,14300,10.2,14.0,0.59,0.11,15,2
43,전통차선물,20,90,0.3,2.7,1.12,3.76,15,2
44,카페여름메뉴,10,10,0.0,0.0,0.0,0.0,1,1
45,현미녹차,870,2150,1.3,3.5,0.16,0.18,15,2
46,토종꿀가격,50,930,2.5,67.8,5.04,8.3,15,2
47,오미자차,1330,6670,6.7,110.2,0.54,1.78,15,2
48,쌍화차의효능,20,140,0.0,0.0,0.0,0.0,3,2
49,쌍화재료,10,50,0.4,0.0,5.27,0.0,3,2
50,수제쌍화탕,20,240,0.7,1.3,2.47,0.57,3,2
51,쌍화탕약재,10,50,0.7,0.0,11.12,0.0,3,2
52,영귤차,40,340,0.3,0.5,0.66,0.17,14,2
53,차세트,1040,5140,7.6,113.3,0.88,2.65,15,2
54,연말선물,320,690,0.3,1.3,0.11,0.18,15,2
55,계피생강차,150,1790,0.8,32.6,0.56,1.85,15,2
56,수제차,210,1080,4.1,29.9,2.12,3.11,15,2
57,불면증에좋은차,560,5280,1.7,118.1,0.32,2.4,15,2
58,수제수정과,20,140,0.0,0.3,0.0,0.28,3,2
59,쌍화차거리,60,340,1.0,0.0,3.45,0.0,1,1
60,쌍화차분말,50,230,0.6,0.3,1.14,0.13,15,2
61,담터단호박마차,320,2090,0.9,1.7,0.3,0.09,14,2
62,황기차,240,1700,0.7,52.3,0.31,3.22,15,2
63,티백만들기,180,800,1.1,35.6,0.61,4.79,15,2
64,쌍화한차,30,270,0.2,1.0,0.61,0.4,11,1
65,다방쌍화차,40,640,0.0,4.7,0.0,0.77,3,2
66,감초차,250,2420,2.9,95.7,1.22,4.19,15,2
67,감초나무,10,370,0.3,22.5,2.1,6.83,12,1
68,쌍화차만드는방법,10,50,0.0,0.0,0.0,0.0,3,2
69,쌍화탕만드는법,10,110,0.2,0.0,1.73,0.0,12,1
70,쌍화탕끓이는법,10,20,0.0,0.0,0.0,0.0,3,2
71,쌍화탕끓이기,10,40,0.0,0.3,0.0,0.78,3,2
